Province,Livestock_Raised,profession,gender,count_registered_farmers
ABRA,Buffaloes (Carabaos),Farmer only,Male,"3,012"
ABRA,Cattle,Farmer only,Male,"2,711"
ABRA,Deer elk reindeer,Farmer only,Male,0
ABRA,Goats,Farmer only,Male,"1,832"
ABRA,Horses,Farmer only,Male,117
ABRA,Pigs or swine,Farmer only,Male,"2,856"
ABRA,Rabbits and hares,Farmer only,Male,1
ABRA,Sheep,Farmer only,Male,1
AGUSAN DEL SUR,Buffaloes (Carabaos),Farmer only,Male,"2,338"
AGUSAN DEL SUR,Cattle,Farmer only,Male,673
AGUSAN DEL SUR,Dogs and cats,Farmer only,Male,1
AGUSAN DEL SUR,Goats,Farmer only,Male,"1,449"
AGUSAN DEL SUR,Horses,Farmer only,Male,93
AGUSAN DEL SUR,Mules and hinnies,Farmer only,Male,0
AGUSAN DEL SUR,Other animals (e.g. ostriches emus elephants),Farmer only,Male,0
AGUSAN DEL SUR,Pigs or swine,Farmer only,Male,"10,553"
AGUSAN DEL SUR,Rabbits and hares,Farmer only,Male,20
AGUSAN DEL SUR,Sheep,Farmer only,Male,7
AGUSAN DEL SUR,Silkworms,Farmer only,Male,2
CAMARINES SUR,Buffaloes (Carabaos),Farmer only,Male,"9,297"
CAMARINES SUR,Cattle,Farmer only,Male,"5,436"
CAMARINES SUR,Deer elk reindeer,Farmer only,Male,4
CAMARINES SUR,Goats,Farmer only,Male,"2,681"
CAMARINES SUR,Horses,Farmer only,Male,174
CAMARINES SUR,Other animals (e.g. ostriches emus elephants),Farmer only,Male,8
CAMARINES SUR,Pigs or swine,Farmer only,Male,"14,636"
CAMARINES SUR,Rabbits and hares,Farmer only,Male,7
CAMARINES SUR,Sheep,Farmer only,Male,15
DAVAO ORIENTAL,Buffaloes (Carabaos),Farmer only,Male,"1,607"
DAVAO ORIENTAL,Cattle,Farmer only,Male,"1,025"
DAVAO ORIENTAL,Dogs and cats,Farmer only,Male,1
DAVAO ORIENTAL,Goats,Farmer only,Male,"2,270"
DAVAO ORIENTAL,Horses,Farmer only,Male,471
DAVAO ORIENTAL,Pigs or swine,Farmer only,Male,"5,030"
DAVAO ORIENTAL,Rabbits and hares,Farmer only,Male,3
DAVAO ORIENTAL,Sheep,Farmer only,Male,24
EASTERN SAMAR,Bees,Farmer only,Male,1
EASTERN SAMAR,Buffaloes (Carabaos),Farmer only,Male,"1,211"
EASTERN SAMAR,Cattle,Farmer only,Male,234
EASTERN SAMAR,Goats,Farmer only,Male,78
EASTERN SAMAR,Horses,Farmer only,Male,1
EASTERN SAMAR,Other animals (e.g. ostriches emus elephants),Farmer only,Male,4
EASTERN SAMAR,Pigs or swine,Farmer only,Male,"2,115"
EASTERN SAMAR,Rabbits and hares,Farmer only,Male,1
EASTERN SAMAR,Sheep,Farmer only,Male,0
IFUGAO,Bees,Farmer only,Male,0
IFUGAO,Buffaloes (Carabaos),Farmer only,Male,"1,208"
IFUGAO,Cattle,Farmer only,Male,525
IFUGAO,Deer elk reindeer,Farmer only,Male,2
IFUGAO,Goats,Farmer only,Male,373
IFUGAO,Horses,Farmer only,Male,7
IFUGAO,Pigs or swine,Farmer only,Male,"3,723"
IFUGAO,Rabbits and hares,Farmer only,Male,27
IFUGAO,Sheep,Farmer only,Male,4
KALINGA,Bees,Farmer only,Male,0
KALINGA,Buffaloes (Carabaos),Farmer only,Male,"1,568"
KALINGA,Cattle,Farmer only,Male,369
KALINGA,Deer elk reindeer,Farmer only,Male,2
KALINGA,Goats,Farmer only,Male,260
KALINGA,Horses,Farmer only,Male,126
KALINGA,Pigs or swine,Farmer only,Male,"5,283"
KALINGA,Rabbits and hares,Farmer only,Male,1
KALINGA,Sheep,Farmer only,Male,2
MASBATE,Buffaloes (Carabaos),Farmer only,Male,"10,359"
MASBATE,Cattle,Farmer only,Male,"4,019"
MASBATE,Goats,Farmer only,Male,"3,608"
MASBATE,Horses,Farmer only,Male,"1,953"
MASBATE,Pigs or swine,Farmer only,Male,"13,067"
MASBATE,Rabbits and hares,Farmer only,Male,3
MASBATE,Sheep,Farmer only,Male,0
MOUNTAIN PROVINCE,Bees,Farmer only,Male,0
MOUNTAIN PROVINCE,Buffaloes (Carabaos),Farmer only,Male,427
MOUNTAIN PROVINCE,Cattle,Farmer only,Male,231
MOUNTAIN PROVINCE,Deer elk reindeer,Farmer only,Male,1
MOUNTAIN PROVINCE,Goats,Farmer only,Male,43
MOUNTAIN PROVINCE,Horses,Farmer only,Male,14
MOUNTAIN PROVINCE,Pigs or swine,Farmer only,Male,"2,955"
MOUNTAIN PROVINCE,Rabbits and hares,Farmer only,Male,6
MOUNTAIN PROVINCE,Sheep,Farmer only,Male,0
MOUNTAIN PROVINCE,Silkworms,Farmer only,Male,1
COTABATO (NORTH COTABATO),Asses,Farmer only,Male,23
COTABATO (NORTH COTABATO),Bees,Farmer only,Male,3
COTABATO (NORTH COTABATO),Buffaloes (Carabaos),Farmer only,Male,"9,883"
COTABATO (NORTH COTABATO),Camels/Llamas and alpacas,Farmer only,Male,27
COTABATO (NORTH COTABATO),Cattle,Farmer only,Male,"10,034"
COTABATO (NORTH COTABATO),Deer elk reindeer,Farmer only,Male,8
COTABATO (NORTH COTABATO),Dogs and cats,Farmer only,Male,0
COTABATO (NORTH COTABATO),Fur-bearing animals such as foxes and minks,Farmer only,Male,31
COTABATO (NORTH COTABATO),Goats,Farmer only,Male,"8,696"
COTABATO (NORTH COTABATO),Horses,Farmer only,Male,"2,025"
COTABATO (NORTH COTABATO),Mules and hinnies,Farmer only,Male,1
COTABATO (NORTH COTABATO),Other animals (e.g. ostriches emus elephants),Farmer only,Male,0
COTABATO (NORTH COTABATO),Other equines (e.g. zebras),Farmer only,Male,8
COTABATO (NORTH COTABATO),Other worms or insects,Farmer only,Male,3
COTABATO (NORTH COTABATO),Pigs or swine,Farmer only,Male,"13,499"
COTABATO (NORTH COTABATO),Rabbits and hares,Farmer only,Male,13
COTABATO (NORTH COTABATO),Sheep,Farmer only,Male,19
COTABATO (NORTH COTABATO),Silkworms,Farmer only,Male,0
COTABATO (NORTH COTABATO),Yaks,Farmer only,Male,6
NORTHERN SAMAR,Buffaloes (Carabaos),Farmer only,Male,"2,303"
NORTHERN SAMAR,Cattle,Farmer only,Male,296
NORTHERN SAMAR,Dogs and cats,Farmer only,Male,0
NORTHERN SAMAR,Goats,Farmer only,Male,114
NORTHERN SAMAR,Horses,Farmer only,Male,30
NORTHERN SAMAR,Pigs or swine,Farmer only,Male,"5,365"
NORTHERN SAMAR,Sheep,Farmer only,Male,0
ROMBLON,Asses,Farmer only,Male,1
ROMBLON,Bees,Farmer only,Male,0
ROMBLON,Buffaloes (Carabaos),Farmer only,Male,641
ROMBLON,Camels/Llamas and alpacas,Farmer only,Male,1
ROMBLON,Cattle,Farmer only,Male,"1,907"
ROMBLON,Goats,Farmer only,Male,"1,403"
ROMBLON,Horses,Farmer only,Male,13
ROMBLON,Other equines (e.g. zebras),Farmer only,Male,1
ROMBLON,Pigs or swine,Farmer only,Male,"3,361"
ROMBLON,Rabbits and hares,Farmer only,Male,0
ROMBLON,Sheep,Farmer only,Male,0
ROMBLON,Yaks,Farmer only,Male,0
SAMAR (WESTERN SAMAR),Buffaloes (Carabaos),Farmer only,Male,"2,105"
SAMAR (WESTERN SAMAR),Cattle,Farmer only,Male,52
SAMAR (WESTERN SAMAR),Deer elk reindeer,Farmer only,Male,1
SAMAR (WESTERN SAMAR),Fur-bearing animals such as foxes and minks,Farmer only,Male,1
SAMAR (WESTERN SAMAR),Goats,Farmer only,Male,94
SAMAR (WESTERN SAMAR),Horses,Farmer only,Male,1
SAMAR (WESTERN SAMAR),Pigs or swine,Farmer only,Male,"3,586"
SAMAR (WESTERN SAMAR),Rabbits and hares,Farmer only,Male,2
SAMAR (WESTERN SAMAR),Sheep,Farmer only,Male,1
SIQUIJOR,Buffaloes (Carabaos),Farmer only,Male,129
SIQUIJOR,Cattle,Farmer only,Male,"2,522"
SIQUIJOR,Goats,Farmer only,Male,"1,415"
SIQUIJOR,Horses,Farmer only,Male,5
SIQUIJOR,Pigs or swine,Farmer only,Male,"2,378"
SIQUIJOR,Rabbits and hares,Farmer only,Male,1
SIQUIJOR,Sheep,Farmer only,Male,0
SULTAN KUDARAT,Asses,Farmer only,Male,3
SULTAN KUDARAT,Bees,Farmer only,Male,0
SULTAN KUDARAT,Buffaloes (Carabaos),Farmer only,Male,"2,552"
SULTAN KUDARAT,Camels/Llamas and alpacas,Farmer only,Male,2
SULTAN KUDARAT,Cattle,Farmer only,Male,"2,048"
SULTAN KUDARAT,Deer elk reindeer,Farmer only,Male,4
SULTAN KUDARAT,Fur-bearing animals such as foxes and minks,Farmer only,Male,3
SULTAN KUDARAT,Goats,Farmer only,Male,"2,295"
SULTAN KUDARAT,Horses,Farmer only,Male,"1,269"
SULTAN KUDARAT,Mules and hinnies,Farmer only,Male,2
SULTAN KUDARAT,Other animals (e.g. ostriches emus elephants),Farmer only,Male,1
SULTAN KUDARAT,Other equines (e.g. zebras),Farmer only,Male,5
SULTAN KUDARAT,Pigs or swine,Farmer only,Male,"4,875"
SULTAN KUDARAT,Rabbits and hares,Farmer only,Male,8
SULTAN KUDARAT,Sheep,Farmer only,Male,13
SULTAN KUDARAT,Yaks,Farmer only,Male,0
SURIGAO DEL NORTE,Buffaloes (Carabaos),Farmer only,Male,"2,045"
SURIGAO DEL NORTE,Cattle,Farmer only,Male,219
SURIGAO DEL NORTE,Goats,Farmer only,Male,341
SURIGAO DEL NORTE,Horses,Farmer only,Male,34
SURIGAO DEL NORTE,Other animals (e.g. ostriches emus elephants),Farmer only,Male,60
SURIGAO DEL NORTE,Pigs or swine,Farmer only,Male,"4,220"
SURIGAO DEL NORTE,Rabbits and hares,Farmer only,Male,5
SURIGAO DEL NORTE,Sheep,Farmer only,Male,2
SURIGAO DEL NORTE,Silkworms,Farmer only,Male,0
SURIGAO DEL SUR,Buffaloes (Carabaos),Farmer only,Male,"3,198"
SURIGAO DEL SUR,Cattle,Farmer only,Male,342
SURIGAO DEL SUR,Goats,Farmer only,Male,937
SURIGAO DEL SUR,Horses,Farmer only,Male,27
SURIGAO DEL SUR,Mules and hinnies,Farmer only,Male,1
SURIGAO DEL SUR,Other animals (e.g. ostriches emus elephants),Farmer only,Male,2
SURIGAO DEL SUR,Pigs or swine,Farmer only,Male,"7,480"
SURIGAO DEL SUR,Rabbits and hares,Farmer only,Male,3
SURIGAO DEL SUR,Sheep,Farmer only,Male,1
ZAMBOANGA DEL NORTE,Asses,Farmer only,Male,5
ZAMBOANGA DEL NORTE,Bees,Farmer only,Male,0
ZAMBOANGA DEL NORTE,Buffaloes (Carabaos),Farmer only,Male,"11,578"
ZAMBOANGA DEL NORTE,Camels/Llamas and alpacas,Farmer only,Male,9
ZAMBOANGA DEL NORTE,Cattle,Farmer only,Male,"7,101"
ZAMBOANGA DEL NORTE,Deer elk reindeer,Farmer only,Male,5
ZAMBOANGA DEL NORTE,Fur-bearing animals such as foxes and minks,Farmer only,Male,7
ZAMBOANGA DEL NORTE,Goats,Farmer only,Male,"4,317"
ZAMBOANGA DEL NORTE,Horses,Farmer only,Male,"1,445"
ZAMBOANGA DEL NORTE,Other animals (e.g. ostriches emus elephants),Farmer only,Male,3
ZAMBOANGA DEL NORTE,Other equines (e.g. zebras),Farmer only,Male,5
ZAMBOANGA DEL NORTE,Pigs or swine,Farmer only,Male,"19,590"
ZAMBOANGA DEL NORTE,Rabbits and hares,Farmer only,Male,3
ZAMBOANGA DEL NORTE,Sheep,Farmer only,Male,8
ZAMBOANGA DEL NORTE,Silkworms,Farmer only,Male,0
ZAMBOANGA DEL NORTE,Yaks,Farmer only,Male,0
SARANGANI,Asses,Farmer only,Male,7
SARANGANI,Bees,Farmer only,Male,5
SARANGANI,Buffaloes (Carabaos),Farmer only,Male,"2,216"
SARANGANI,Camels/Llamas and alpacas,Farmer only,Male,8
SARANGANI,Cattle,Farmer only,Male,"2,533"
SARANGANI,Deer elk reindeer,Farmer only,Male,6
SARANGANI,Fur-bearing animals such as foxes and minks,Farmer only,Male,3
SARANGANI,Goats,Farmer only,Male,"2,674"
SARANGANI,Horses,Farmer only,Male,"1,929"
SARANGANI,Mules and hinnies,Farmer only,Male,5
SARANGANI,Other animals (e.g. ostriches emus elephants),Farmer only,Male,1
SARANGANI,Other equines (e.g. zebras),Farmer only,Male,8
SARANGANI,Other worms or insects,Farmer only,Male,1
SARANGANI,Pigs or swine,Farmer only,Male,"7,557"
SARANGANI,Rabbits and hares,Farmer only,Male,6
SARANGANI,Sheep,Farmer only,Male,15
SARANGANI,Silkworms,Farmer only,Male,1
SARANGANI,Yaks,Farmer only,Male,2
APAYAO,Buffaloes (Carabaos),Farmer only,Male,777
APAYAO,Cattle,Farmer only,Male,123
APAYAO,Deer elk reindeer,Farmer only,Male,5
APAYAO,Goats,Farmer only,Male,125
APAYAO,Horses,Farmer only,Male,1
APAYAO,Other animals (e.g. ostriches emus elephants),Farmer only,Male,0
APAYAO,Pigs or swine,Farmer only,Male,"1,842"
APAYAO,Rabbits and hares,Farmer only,Male,0
ABRA,Buffaloes (Carabaos),Farmer only,Female,233
ABRA,Cattle,Farmer only,Female,239
ABRA,Deer elk reindeer,Farmer only,Female,1
ABRA,Goats,Farmer only,Female,208
ABRA,Horses,Farmer only,Female,5
ABRA,Pigs or swine,Farmer only,Female,962
ABRA,Rabbits and hares,Farmer only,Female,1
ABRA,Sheep,Farmer only,Female,0
AGUSAN DEL SUR,Buffaloes (Carabaos),Farmer only,Female,197
AGUSAN DEL SUR,Cattle,Farmer only,Female,51
AGUSAN DEL SUR,Dogs and cats,Farmer only,Female,0
AGUSAN DEL SUR,Goats,Farmer only,Female,191
AGUSAN DEL SUR,Horses,Farmer only,Female,11
AGUSAN DEL SUR,Mules and hinnies,Farmer only,Female,0
AGUSAN DEL SUR,Other animals (e.g. ostriches emus elephants),Farmer only,Female,1
AGUSAN DEL SUR,Pigs or swine,Farmer only,Female,"1,653"
AGUSAN DEL SUR,Rabbits and hares,Farmer only,Female,4
AGUSAN DEL SUR,Sheep,Farmer only,Female,0
AGUSAN DEL SUR,Silkworms,Farmer only,Female,0
CAMARINES SUR,Buffaloes (Carabaos),Farmer only,Female,933
CAMARINES SUR,Cattle,Farmer only,Female,671
CAMARINES SUR,Deer elk reindeer,Farmer only,Female,0
CAMARINES SUR,Goats,Farmer only,Female,437
CAMARINES SUR,Horses,Farmer only,Female,16
CAMARINES SUR,Other animals (e.g. ostriches emus elephants),Farmer only,Female,1
CAMARINES SUR,Pigs or swine,Farmer only,Female,"4,188"
CAMARINES SUR,Rabbits and hares,Farmer only,Female,1
CAMARINES SUR,Sheep,Farmer only,Female,2
DAVAO ORIENTAL,Buffaloes (Carabaos),Farmer only,Female,166
DAVAO ORIENTAL,Cattle,Farmer only,Female,178
DAVAO ORIENTAL,Dogs and cats,Farmer only,Female,0
DAVAO ORIENTAL,Goats,Farmer only,Female,383
DAVAO ORIENTAL,Horses,Farmer only,Female,34
DAVAO ORIENTAL,Pigs or swine,Farmer only,Female,774
DAVAO ORIENTAL,Rabbits and hares,Farmer only,Female,2
DAVAO ORIENTAL,Sheep,Farmer only,Female,5
EASTERN SAMAR,Bees,Farmer only,Female,0
EASTERN SAMAR,Buffaloes (Carabaos),Farmer only,Female,65
EASTERN SAMAR,Cattle,Farmer only,Female,66
EASTERN SAMAR,Goats,Farmer only,Female,18
EASTERN SAMAR,Horses,Farmer only,Female,1
EASTERN SAMAR,Other animals (e.g. ostriches emus elephants),Farmer only,Female,0
EASTERN SAMAR,Pigs or swine,Farmer only,Female,503
EASTERN SAMAR,Rabbits and hares,Farmer only,Female,0
EASTERN SAMAR,Sheep,Farmer only,Female,0
IFUGAO,Bees,Farmer only,Female,0
IFUGAO,Buffaloes (Carabaos),Farmer only,Female,266
IFUGAO,Cattle,Farmer only,Female,122
IFUGAO,Deer elk reindeer,Farmer only,Female,1
IFUGAO,Goats,Farmer only,Female,133
IFUGAO,Horses,Farmer only,Female,3
IFUGAO,Pigs or swine,Farmer only,Female,"2,033"
IFUGAO,Rabbits and hares,Farmer only,Female,26
IFUGAO,Sheep,Farmer only,Female,0
KALINGA,Bees,Farmer only,Female,0
KALINGA,Buffaloes (Carabaos),Farmer only,Female,165
KALINGA,Cattle,Farmer only,Female,63
