Province,Main_Purpose_of_Aquacultural_Activity,engagement,gender,count_registered_fishermen
ABRA,Bangus/Milkfish,Aquaculture Only,Male,0
ABRA,Tilapia,Aquaculture Only,Male,53
ABRA,Prawn,Aquaculture Only,Male,0
ABRA,Oyster,Aquaculture Only,Male,0
ABRA,Mussel,Aquaculture Only,Male,0
ABRA,Seaweed,Aquaculture Only,Male,0
ABRA,Other species,Aquaculture Only,Male,2
AGUSAN DEL SUR,Bangus/Milkfish,Aquaculture Only,Male,4
AGUSAN DEL SUR,Tilapia,Aquaculture Only,Male,124
AGUSAN DEL SUR,Prawn,Aquaculture Only,Male,4
AGUSAN DEL SUR,Oyster,Aquaculture Only,Male,0
AGUSAN DEL SUR,Mussel,Aquaculture Only,Male,0
AGUSAN DEL SUR,Seaweed,Aquaculture Only,Male,0
AGUSAN DEL SUR,Other species,Aquaculture Only,Male,12
CAMARINES SUR,Bangus/Milkfish,Aquaculture Only,Male,320
CAMARINES SUR,Tilapia,Aquaculture Only,Male,"1,184"
CAMARINES SUR,Prawn,Aquaculture Only,Male,268
CAMARINES SUR,Oyster,Aquaculture Only,Male,35
CAMARINES SUR,Mussel,Aquaculture Only,Male,38
CAMARINES SUR,Seaweed,Aquaculture Only,Male,"1,395"
CAMARINES SUR,Other species,Aquaculture Only,Male,322
DAVAO ORIENTAL,Bangus/Milkfish,Aquaculture Only,Male,155
DAVAO ORIENTAL,Tilapia,Aquaculture Only,Male,105
DAVAO ORIENTAL,Prawn,Aquaculture Only,Male,50
DAVAO ORIENTAL,Oyster,Aquaculture Only,Male,10
DAVAO ORIENTAL,Mussel,Aquaculture Only,Male,4
DAVAO ORIENTAL,Seaweed,Aquaculture Only,Male,15
DAVAO ORIENTAL,Other species,Aquaculture Only,Male,80
EASTERN SAMAR,Bangus/Milkfish,Aquaculture Only,Male,48
EASTERN SAMAR,Tilapia,Aquaculture Only,Male,25
EASTERN SAMAR,Prawn,Aquaculture Only,Male,11
EASTERN SAMAR,Oyster,Aquaculture Only,Male,52
EASTERN SAMAR,Mussel,Aquaculture Only,Male,1
EASTERN SAMAR,Seaweed,Aquaculture Only,Male,103
EASTERN SAMAR,Other species,Aquaculture Only,Male,745
IFUGAO,Bangus/Milkfish,Aquaculture Only,Male,0
IFUGAO,Tilapia,Aquaculture Only,Male,136
IFUGAO,Prawn,Aquaculture Only,Male,0
IFUGAO,Oyster,Aquaculture Only,Male,0
IFUGAO,Mussel,Aquaculture Only,Male,0
IFUGAO,Seaweed,Aquaculture Only,Male,0
IFUGAO,Other species,Aquaculture Only,Male,1
KALINGA,Bangus/Milkfish,Aquaculture Only,Male,0
KALINGA,Tilapia,Aquaculture Only,Male,3
KALINGA,Prawn,Aquaculture Only,Male,0
KALINGA,Oyster,Aquaculture Only,Male,0
KALINGA,Mussel,Aquaculture Only,Male,0
KALINGA,Seaweed,Aquaculture Only,Male,0
KALINGA,Other species,Aquaculture Only,Male,0
MASBATE,Bangus/Milkfish,Aquaculture Only,Male,531
MASBATE,Tilapia,Aquaculture Only,Male,456
MASBATE,Prawn,Aquaculture Only,Male,545
MASBATE,Oyster,Aquaculture Only,Male,139
MASBATE,Mussel,Aquaculture Only,Male,6
MASBATE,Seaweed,Aquaculture Only,Male,"1,150"
MASBATE,Other species,Aquaculture Only,Male,481
MOUNTAIN PROVINCE,Bangus/Milkfish,Aquaculture Only,Male,0
MOUNTAIN PROVINCE,Tilapia,Aquaculture Only,Male,25
MOUNTAIN PROVINCE,Prawn,Aquaculture Only,Male,0
MOUNTAIN PROVINCE,Oyster,Aquaculture Only,Male,0
MOUNTAIN PROVINCE,Mussel,Aquaculture Only,Male,0
MOUNTAIN PROVINCE,Seaweed,Aquaculture Only,Male,0
MOUNTAIN PROVINCE,Other species,Aquaculture Only,Male,2
COTABATO (NORTH COTABATO),Bangus/Milkfish,Aquaculture Only,Male,75
COTABATO (NORTH COTABATO),Tilapia,Aquaculture Only,Male,432
COTABATO (NORTH COTABATO),Prawn,Aquaculture Only,Male,20
COTABATO (NORTH COTABATO),Oyster,Aquaculture Only,Male,6
COTABATO (NORTH COTABATO),Mussel,Aquaculture Only,Male,9
