Route_Name,Franchise_Count,Authorized_Units
"Alabang - Baclaran viaSn Dionisio,Zapote",1,1
Alabang - Balibago,42,43
Alabang - Balibago Sta Rosa Lag. via SSH,71,74
Alabang - BiNan via National Rd,202,226
Alabang - Calamba via National Rd,204,213
Alabang - Carmona,72,85
Alabang - Carmona Bulihan,6,6
Alabang - Carmona to Buhi,1,1
Alabang - Carmona via Expressway,19,19
Alabang - GMA Alab Carmona to Bulihan,1,1
"Alabang - GMA via Carmona, Expressway",65,108
"Alabang - GMA via Carmona, Nat'l Rd",417,432
Alabang - GMA via National Road,191,194
Alabang - GMA via South Expressway,33,114
Alabang - Langgam (San Pedro),6,8
Alabang - Muntinlupa via National Road,1,1
Alabang - Sta Rosa via Expressway,1,1
Alabang-GMA via Carmona to Bulihan,1,1
Alabang-GMAviaSouthExpresswayCarmonaExit,3,3
Alabang-Queen/s Row via Daang Hari andvv,1,15
Angono - Cubao Aurora 20th Ave PTuazon,27,33
Angono - EDSA/Shaw Blvd,18,19
Angono - NCC Market via Felix Avenue,2,2
Angono - Pasig (TP),58,60
Angono - Pasig (TP) via Angono Bayan,10,10
Angono - Rosario,3,3
Angono - Taytay(TP),1,1
Angono(Riz)-AgoraMarket(SJ)via Manggahan,1,1
Angono-Cubao via Angono,1,2
Antipolo - Cubao via Imelda Ave,1,1
Antipolo - Cubao via Marcos Hi-way,72,143
Antipolo - Cubao via Sumulong Hi-way,108,133
Antipolo - EDSA/Shaw Blvd,68,74
Antipolo - JRC Via Ortigas Avenue,53,62
Antipolo - Rosario,1,1
Antipolo(Cogeo) - Marikina via MarcosHwy,16,18
Antipolo(Cogeo) - Marikina via Sumulong,34,37
Antipolo(Cogeo) - Mka via Francisville,4,10
Antipolo(TownProper)-MarikinaviaSumulong,99,126
Antipolo-EDSA/SHAW via JRC,1,1
Ayala (Landmark) - Bahayang Pag-asa & VV,23,23
Ayala-Bahayang Pag-asa via Ayala Ctr Ter,15,15
B.Pagasa(Imus)-Baclaran(Pque)via C.Road,1,1
Baclaran - Bacoor,45,75
Baclaran - Bacoor via Redemptorist,13,13
Baclaran - Dapitan via Mabini,1,1
Baclaran - DasmariNas Bagong Bayan,1,1
Baclaran - Imus via Quirino Ave,1,1
Baclaran - Zapote (Bacoor) via Cavite,5,6
Baclaran - Zapote(Bacoor) Via Coastal Rd,2,2
Baclaran-Imus via Imus terminal,69,86
Baclaran-Magallanes via Cavite CoastalRd,1,25
Bagbaguin - Malinta,1,1
Bagong NayonII-Marikina via A Tuazon,5,5
Bagong NayonII-Marikina via Marcos Hiway,135,142
Baliwag - Malinta via McArthur Hi-Way,32,51
BBB - Malolos via McArthur Hiway,1,1
Bigte(Norgray Bul)-Novaliches viaQuirino,170,251
Binakayan (Kawit) - Zapote (Las PiNas),12,12
Binangonan - EDSA/Shaw and VV,6,6
Binangonan - EDSA/Shaw Blvd via Angono,57,60
Binangonan - EDSA/Shaw viaManggahan F'wy,1,1
Binangonan - JRC via Angono,26,29
Binangonan - JRC via Angono Floodway,4,4
Binangonan - JRC via Edsa/Shaw Angono,186,190
Binangonan - JRC via Manggahan Floodway,4,4
Binangonan - Marcos Hiway/Imelda Avenue,119,124
Binangonan - Pasig (TP),32,35
Binangonan - Rosario,3,4
Binangonan-JRC via Angono Villa Mangahan,2,2
"Binangonan-JRC via Angono,Taytay,Cainta",5,5
Binangonan-JRCviaEDSA/SHAW VillaManggahn,6,7
Binangonan-LRT/MrknRBanksviaMlaEastImldM,2,2
Binangonan-Marcos Hway LRT Station RBank,1,1
Binangonan-Marcos Hway/Imelda Mla EastRd,5,5
Binangonan-Riverbanks viaMlaEastImeldaMH,43,44
Bintog - Malinta via McArthur Hi-way,7,9
Brgy BagongSilangan-Ever Gotesco CommAve,1,1
Brgy Mali SnMateo(Riz)-Philcoa via Const,97,108
BrgyPntongBukawe(SnMateo)RobinsonViaMRKN,11,23
BrgySnRafael(Rodriguez)-QC Hall via Maly,31,35
BrgySnRafael(Rodriguez)-QMC viaBrgy Maly,8,8
Bulacan - Malinta via Mc Arthur Highway,4,4
Buso-Buso - Marikina,19,27
Cainta - Jala-Jala,1,1
Cainta - Morong via Binangonan,1,1
Cainta Jct - Cubao Via Ortigas Ave Ext,20,20
Cainta Junction - Cubao,3,3
Cainta Junction - Cubao via Imelda Ave,58,63
Cainta Junction - Ortigas Ave/ADB,1,1
Calawis(Ant)-Marikina via Marcos Hiway,4,5
"Calumpang - Cubao via 20th Ave, P Tuazon",2,2
Camella Homes Spring-LPinas via MAlvarez,33,33
Camella Homes Springville(Cav)-Talon(LP),2,2
Camella Springville (Bac Cav)-Talon (LP),8,8
Camella Springville-LPNas via MarcosHway,21,21
Camella(Gawaran)-Lozada Mkt via MAlvarez,3,37
Cogeo - Cubao via Marcos Highway,237,291
Cogeo-Paenaan via Padilla Marcos Highway,4,4
"CogeoGte2-PenaanviaPadilla,MHwy-PaloAlto",5,5
"Commonwealth Market-Rodriguez, Rizal",1,1
Commonwealth Mkt-Southville Resettlemnt,2,4
Cubao - Angono,20,20
Cubao - E Rodriguez(Montalban),14,14
Cubao - Padilla (Bagong Nayon II),22,23
Cubao - Padilla via Marcos Hi-way,90,98
Cubao - Padilla via Peace Village,23,25
"Cubao - Rodriguez(TP),Mont via San Mateo",44,45
Cubao - Silangan(San Mateo) via Aurora,6,6
Cubao - Silangan(San Mateo) via Marikina,110,112
Cubao - Silangan(SnMateo) via Woodland,58,59
Cubao - Taytay,186,197
Cubao - Taytay via Aurora Blvd,36,40
Cubao - Taytay via Imelda Ave,4,4
Cubao(Quezon City)-Montalban(Rizal),190,193
Cubao-MontalbanviaMntlbnTermRdrguezJPRzl,1,1
Dasma Res-Baclaran via MolinoNiogCoastal,1,1
Dasma Resetl(Paliprn)-Baclarn viaCoastRd,37,41
DasmariNas Resettle-Baclaran via Coastal,446,520
DasmariNas Resettlement Area - Zapote,12,12
DBB Resettlement ara-Baclaran and vv,2,2
E Rodriguez(Marikina)-San Rafael,3,3
Eastern Rizal - Pasig (Market),12,12
Edsa/Shaw - Morong via Antipolo,1,1
EDSA/Shaw - Morong via Binangonan,1,1
EDSA/Shaw -Morong via Binangonan Cardona,1,1
EDSA/Shaw Central - Morong,65,67
Edsa/Shaw Central - Morong via Edsa,18,18
Edsa/Shaw Central - Morong viaCainta Tay,9,9
EDSA/Shaw Central - Pasig (TP),3,3
EDSA/Shaw Central - Tanay via Angono,110,122
EDSA/Shaw Central - Tanay via Antipolo,198,272
EDSA/Shaw Central - Taytay,39,42
"Edsa/Shaw Central-Morong via Ant.,Teresa",10,14
EDSA/Shaw Central-MorongviaEDSA/ShawBlvd,1,1
EDSA/SHAW Central-Taytay viaEDSACentTerm,3,3
Edsa/Shaw Cntrl-Morong viaFloodwayAngono,6,6
Edsa/Shaw Cntrl-Tanay viaFloodway Angono,8,8
"EDSA/ShawCentral-SnJuan,TaytayviaSandov",25,25
EvergreenSubd-PhilcoaViaCommonwealth Ave,1,27
Francisco Hms(SJDM)-Cubao(AranetaCenter),2,236
Francisco Homes - Aurora Blvd/Illinois,1,1
