Route_Name,Franchise_Count,Authorized_Units
5THAVE/LRT-SM CENTERPOINT/STA MESA,6,6
ALABANG - BACLARAN,3,3
ALABANG - LAWTON V. SM MALL OF ASIA,4,4
ALMANZ - BACLARAN,1,1
ALMANZA - AYALA CENTER VIA SLEX SKYWAY,121,124
ALMANZA(L PINAS)-AYALA(L.MARK)V S.SKYWAY,2,2
ALMANZA(L.PINAS)-AYALA(L.MARK)VIA SLEX,1,1
ALMANZA-AYALA,3,3
ALMAR SUBD - TM KALAW VIA. QUEZON AVENUE,64,66
ALMAR SUBD. - FAIRVIEW,1,1
ALMAR SUBD.-T.M.KALAW,2,2
ALMAR SUBD.-TM KALAW V. COMMONWEALTH,267,267
ALMAR SUBD-BUENDIA,1,1
ALMAR/ZABARTE-T.M.KALAW,1,1
ALMAR-KALAW AND VICE VERSA,1,1
ALMAR-T.M.KALAW,4,4
ALMEDA - LANDMARK,20,20
ALMEDA-AYALA CENTER,1,1
AYALA - G. TUAZON,45,45
AYALA CENTER - SUKI MARKET (MAYON),17,17
AYALA-MARIKNA,1,1
BACLARAN-SUCAT VIA ALMEDA,1,1
BAESA - CENTRAL INTEGRATED TERM,1,1
BAGONG SILANG - CUBAO,9,9
BAGONG SILANG - EVER GOTESCO,1,1
BAGONG SILANG - SM NORTH/C.I.T.,9,9
BAGUMBONG - BLUMENTRITT,7,8
BETTERLIVING(PARANAQUE)-ORTIGAS CENTER,1,8
BETTERLIVING-AYALA,1,1
BF PARANAQUE - AYALA CENTER,21,34
BF PQUE.VILLAGE(LAS PINAS)AYALA CENTER T,1,1
BF RESORT VILL- AYALA CENTER V. COASTAL,42,46
BF RESORT VILL. - AYALA CENTER V. SKYWAY,12,12
BF RESORT VILL.-AYALA CENTER V. COASTAL,14,14
BICUTAN - PASAY ROTONDA,1,1
BICUTAN - QUIAPO,5,5
BICUTAN-AYALA,1,1
BICUTAN-SUCAT/SSH,1,1
BIGNAY - SM CITY NORTH,7,7
BRGY FORTUNE (MARIKINA CITY) - CUBAO,15,15
CALUMPANG - CUBAO,1,1
CAMELLA HOMES - AYALA CENTER,1,1
COASTAL MALL-SENATE OF THE PHILIPPINE,1,1
COMEMBO - SM MEGAMALL,40,40
CONCEPCION - AYALA,72,91
CONCEPCION - SM MEGA MALL,14,14
CONCEPCION(MARIKINA)-CUBAO,1,1
COR.QUIRINO H-WAY/KARUHATAN-NRRS TERM.,2,2
COSTAL MALL - SENATE OF THE PHIL. BLDG.,1,1
CUBAO - BUENDIA,89,89
CUBAO(FARMERS PLAZA) - MARIKINA (SSS-VIL,3,3
DEPARO - CENTRAL INTEGRATED TERMINAL,26,26
DEPARO - CUBAO,89,89
DEPARO - FAIRVIEW(ROBINSON),1,1
DEPARO - MONUMENTO,6,7
DEPARO - SM FAIRVIEW,12,12
DEPARO - SM NORTH/C.I.T.,60,60
DEPARO-BLUMENTRITT,39,39
EVER GOTESCO-SM NORTH/C.I.T. V. QUEZON A,4,4
FAIRVIEW - BUENDIA,3,3
FAIRVIEW-PHILCOA,1,1
FESTIVAL MALL - AYALA CENTER,5,5
FESTIVAL MALL - PARK N RIDE (LAWTON),4,4
FESTIVAL MALL - SM ASIA INTERMODAL TERM,7,7
FESTIVAL MALL (ALABANG) LAND MARK MAKATI,4,4
FESTIVAL MALL-EDSA STARMALL,3,3
FESTIVAL MALL-MUNTINLUPA CITY,1,1
FTI - AYALA CENTER,35,35
FTI - QUIAPO,15,15
FTI-AYALA CENTER VIA MCKINLEY HILLS,10,10
G. TUAZON - AYALA (SAMPALOC),5,5
G.TUAZON-AYALA,1,1
GREENHILLS SHOPPING CENTER-SM MEGA MALL,3,3
KARUHATAN(J'BEE)QRNO HWAY-SM NORTH MRT.T,1,1
LAGRO - QUIAPO VIA SAUYO,35,48
LAGRO - SM NORTH,14,14
LAGRO - TM KALAW,13,13
LAS PINAS - MUNTINLUPA V. SUSANA HEIHGTS,1,1
LOWER BICTUAN -SM MAKATI,13,13
LOWER BICUTAN-SM MAKATI VIA MCKINLEY,2,2
MALABON - AYALA,45,45
MALABON - CUBAO,39,40
MALABON - MONUMENTO,1,1
MANILA TO ANY POINT IN METRO MANILA,1,1
MARIKINA - CUBAO,102,105
MARIKINA - GREENHILLS SHOPNG CNTR V. SSS,4,4
MARIKINA - MEGAMALL,28,28
MARIKINA - ORTIGAS,9,20
MARIKINA HEIGHTS - AYALA,172,172
MARIKINA RIVER BANK-ROBINSON'S GALLERIA,15,15
MARIKINA(RIVERBANK)-ROBINSON'S GELLERIA,2,2
MARIKINA-SM FAIRVIEW,4,4
MARIMART - SM NORTH,6,6
MARKET MARKET - BICUTAN,5,5
MARKET MARKET - PASIG VIA SAN JOAQUIN,38,38
MARKET MARKET - ROSARIO VIA C5,20,20
