Day Index,Date Range,Segment,1 Day Active Users
10/1/20,"Oct 1, 2020 - Feb 11, 2021",All Users,94
10/1/20,"Oct 1, 2020 - Feb 11, 2021",New Users,78
10/2/20,"Oct 1, 2020 - Feb 11, 2021",All Users,51
10/2/20,"Oct 1, 2020 - Feb 11, 2021",New Users,37
10/3/20,"Oct 1, 2020 - Feb 11, 2021",All Users,26
10/3/20,"Oct 1, 2020 - Feb 11, 2021",New Users,15
10/4/20,"Oct 1, 2020 - Feb 11, 2021",All Users,23
10/4/20,"Oct 1, 2020 - Feb 11, 2021",New Users,18
10/5/20,"Oct 1, 2020 - Feb 11, 2021",All Users,30
10/5/20,"Oct 1, 2020 - Feb 11, 2021",New Users,27
10/6/20,"Oct 1, 2020 - Feb 11, 2021",All Users,38
10/6/20,"Oct 1, 2020 - Feb 11, 2021",New Users,22
10/7/20,"Oct 1, 2020 - Feb 11, 2021",All Users,97
10/7/20,"Oct 1, 2020 - Feb 11, 2021",New Users,56
10/8/20,"Oct 1, 2020 - Feb 11, 2021",All Users,62
10/8/20,"Oct 1, 2020 - Feb 11, 2021",New Users,35
10/9/20,"Oct 1, 2020 - Feb 11, 2021",All Users,430
10/9/20,"Oct 1, 2020 - Feb 11, 2021",New Users,365
10/10/20,"Oct 1, 2020 - Feb 11, 2021",All Users,414
10/10/20,"Oct 1, 2020 - Feb 11, 2021",New Users,341
10/11/20,"Oct 1, 2020 - Feb 11, 2021",All Users,377
10/11/20,"Oct 1, 2020 - Feb 11, 2021",New Users,320
10/12/20,"Oct 1, 2020 - Feb 11, 2021",All Users,236
10/12/20,"Oct 1, 2020 - Feb 11, 2021",New Users,180
10/13/20,"Oct 1, 2020 - Feb 11, 2021",All Users,597
10/13/20,"Oct 1, 2020 - Feb 11, 2021",New Users,420
10/14/20,"Oct 1, 2020 - Feb 11, 2021",All Users,140
10/14/20,"Oct 1, 2020 - Feb 11, 2021",New Users,61
10/15/20,"Oct 1, 2020 - Feb 11, 2021",All Users,65
10/15/20,"Oct 1, 2020 - Feb 11, 2021",New Users,27
10/16/20,"Oct 1, 2020 - Feb 11, 2021",All Users,66
10/16/20,"Oct 1, 2020 - Feb 11, 2021",New Users,40
10/17/20,"Oct 1, 2020 - Feb 11, 2021",All Users,59
10/17/20,"Oct 1, 2020 - Feb 11, 2021",New Users,30
10/18/20,"Oct 1, 2020 - Feb 11, 2021",All Users,140
10/18/20,"Oct 1, 2020 - Feb 11, 2021",New Users,118
10/19/20,"Oct 1, 2020 - Feb 11, 2021",All Users,102
10/19/20,"Oct 1, 2020 - Feb 11, 2021",New Users,81
10/20/20,"Oct 1, 2020 - Feb 11, 2021",All Users,172
10/20/20,"Oct 1, 2020 - Feb 11, 2021",New Users,148
10/21/20,"Oct 1, 2020 - Feb 11, 2021",All Users,277
10/21/20,"Oct 1, 2020 - Feb 11, 2021",New Users,235
10/22/20,"Oct 1, 2020 - Feb 11, 2021",All Users,736
10/22/20,"Oct 1, 2020 - Feb 11, 2021",New Users,583
10/23/20,"Oct 1, 2020 - Feb 11, 2021",All Users,350
10/23/20,"Oct 1, 2020 - Feb 11, 2021",New Users,273
10/24/20,"Oct 1, 2020 - Feb 11, 2021",All Users,450
10/24/20,"Oct 1, 2020 - Feb 11, 2021",New Users,349
10/25/20,"Oct 1, 2020 - Feb 11, 2021",All Users,80
10/25/20,"Oct 1, 2020 - Feb 11, 2021",New Users,54
10/26/20,"Oct 1, 2020 - Feb 11, 2021",All Users,79
10/26/20,"Oct 1, 2020 - Feb 11, 2021",New Users,50
10/27/20,"Oct 1, 2020 - Feb 11, 2021",All Users,71
10/27/20,"Oct 1, 2020 - Feb 11, 2021",New Users,48
10/28/20,"Oct 1, 2020 - Feb 11, 2021",All Users,64
10/28/20,"Oct 1, 2020 - Feb 11, 2021",New Users,42
10/29/20,"Oct 1, 2020 - Feb 11, 2021",All Users,105
10/29/20,"Oct 1, 2020 - Feb 11, 2021",New Users,81
10/30/20,"Oct 1, 2020 - Feb 11, 2021",All Users,259
10/30/20,"Oct 1, 2020 - Feb 11, 2021",New Users,210
10/31/20,"Oct 1, 2020 - Feb 11, 2021",All Users,73
10/31/20,"Oct 1, 2020 - Feb 11, 2021",New Users,50
11/1/20,"Oct 1, 2020 - Feb 11, 2021",All Users,37
11/1/20,"Oct 1, 2020 - Feb 11, 2021",New Users,21
11/2/20,"Oct 1, 2020 - Feb 11, 2021",All Users,57
11/2/20,"Oct 1, 2020 - Feb 11, 2021",New Users,41
11/3/20,"Oct 1, 2020 - Feb 11, 2021",All Users,121
11/3/20,"Oct 1, 2020 - Feb 11, 2021",New Users,91
11/4/20,"Oct 1, 2020 - Feb 11, 2021",All Users,121
11/4/20,"Oct 1, 2020 - Feb 11, 2021",New Users,93
11/5/20,"Oct 1, 2020 - Feb 11, 2021",All Users,277
11/5/20,"Oct 1, 2020 - Feb 11, 2021",New Users,217
11/6/20,"Oct 1, 2020 - Feb 11, 2021",All Users,311
11/6/20,"Oct 1, 2020 - Feb 11, 2021",New Users,244
11/7/20,"Oct 1, 2020 - Feb 11, 2021",All Users,296
11/7/20,"Oct 1, 2020 - Feb 11, 2021",New Users,222
11/8/20,"Oct 1, 2020 - Feb 11, 2021",All Users,99
11/8/20,"Oct 1, 2020 - Feb 11, 2021",New Users,69
11/9/20,"Oct 1, 2020 - Feb 11, 2021",All Users,258
11/9/20,"Oct 1, 2020 - Feb 11, 2021",New Users,195
11/10/20,"Oct 1, 2020 - Feb 11, 2021",All Users,195
11/10/20,"Oct 1, 2020 - Feb 11, 2021",New Users,148
11/11/20,"Oct 1, 2020 - Feb 11, 2021",All Users,204
11/11/20,"Oct 1, 2020 - Feb 11, 2021",New Users,135
11/12/20,"Oct 1, 2020 - Feb 11, 2021",All Users,195
11/12/20,"Oct 1, 2020 - Feb 11, 2021",New Users,114
11/13/20,"Oct 1, 2020 - Feb 11, 2021",All Users,150
11/13/20,"Oct 1, 2020 - Feb 11, 2021",New Users,91
11/14/20,"Oct 1, 2020 - Feb 11, 2021",All Users,83
11/14/20,"Oct 1, 2020 - Feb 11, 2021",New Users,42
11/15/20,"Oct 1, 2020 - Feb 11, 2021",All Users,117
11/15/20,"Oct 1, 2020 - Feb 11, 2021",New Users,75
11/16/20,"Oct 1, 2020 - Feb 11, 2021",All Users,221
11/16/20,"Oct 1, 2020 - Feb 11, 2021",New Users,153
11/17/20,"Oct 1, 2020 - Feb 11, 2021",All Users,267
11/17/20,"Oct 1, 2020 - Feb 11, 2021",New Users,177
11/18/20,"Oct 1, 2020 - Feb 11, 2021",All Users,183
